WED_Title,County,State,Congressional District 7,F9,geogfips,WED,F5,F7,Number of Records,Total,Ucfe,UCX,UI
5/9/20,Fayette,Alabama,Fayette,0,57,5/9/20,389,0,1,57,0,0,85
5/9/20,Franklin,Alabama,Franklin,0,59,5/9/20,857,0,1,59,0,0,124
5/9/20,Geneva,Alabama,Geneva,0,61,5/9/20,544,0,1,61,0,0,76
5/9/20,Greene,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,63,5/9/20,473,0,1,63,0,0,49
5/9/20,Hale,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,65,5/9/20,1064,0,1,65,0,0,114
5/9/20,Henry,Alabama,Henry,0,67,5/9/20,360,0,1,67,0,0,43
5/9/20,Houston,Alabama,Houston,0,69,5/9/20,3254,0,1,69,0,0,497
5/9/20,Jackson,Alabama,Jackson,0,71,5/9/20,1862,0,1,71,0,0,251
5/9/20,Jefferson,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,73,5/9/20,30923,0,1,73,0,0,3920
5/9/20,Lamar,Alabama,Lamar,0,75,5/9/20,245,0,1,75,0,0,42
5/9/20,Lauderdale,Alabama,Lauderdale,0,77,5/9/20,4181,0,1,77,0,0,337
5/9/20,Lawrence,Alabama,Lawrence,0,79,5/9/20,813,0,1,79,0,0,113
5/9/20,Lee,Alabama,Lee,0,81,5/9/20,5843,0,1,81,0,0,652
5/9/20,Limestone,Alabama,Limestone,0,83,5/9/20,2668,0,1,83,0,0,352
5/9/20,Lowndes,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,85,5/9/20,757,0,1,85,0,0,76
5/9/20,Macon,Alabama,Macon,0,87,5/9/20,820,0,1,87,0,0,107
5/9/20,Madison,Alabama,Madison,0,89,5/9/20,14542,0,1,89,0,0,1916
5/9/20,Marengo,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,91,5/9/20,458,0,1,91,0,0,76
5/9/20,Marion,Alabama,Marion,0,93,5/9/20,679,0,1,93,0,0,135
5/9/20,Marshall,Alabama,Marshall,0,95,5/9/20,3819,0,1,95,0,0,404
5/9/20,Mobile,Alabama,Mobile,0,97,5/9/20,18520,0,1,97,0,0,3043
5/9/20,Monroe,Alabama,Monroe,0,99,5/9/20,639,0,1,99,0,0,95
5/9/20,Montgomery,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,101,5/9/20,12847,0,1,101,0,0,1725
5/9/20,Morgan,Alabama,Morgan,0,103,5/9/20,4649,0,1,103,0,0,612
5/9/20,Perry,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,105,5/9/20,422,0,1,105,0,0,47
5/9/20,Pickens,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,107,5/9/20,691,0,1,107,0,0,87
5/9/20,Pike,Alabama,Pike,0,109,5/9/20,887,0,1,109,0,0,137
5/9/20,Randolph,Alabama,Randolph,0,111,5/9/20,417,0,1,111,0,0,60
5/9/20,Russell,Alabama,Russell,0,113,5/9/20,902,0,1,113,0,0,189
5/9/20,St. Clair,Alabama,St. Clair,0,115,5/9/20,3905,0,1,115,0,0,332
5/9/20,Shelby,Alabama,Shelby,0,117,5/9/20,5422,0,1,117,0,0,611
5/9/20,Sumter,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,119,5/9/20,336,0,1,119,0,0,59
5/9/20,Talladega,Alabama,Talladega,0,121,5/9/20,5295,0,1,121,0,0,401
5/9/20,Tallapoosa,Alabama,Tallapoosa,0,123,5/9/20,2121,0,1,123,0,0,157
5/9/20,Tuscaloosa,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,125,5/9/20,11460,0,1,125,0,0,1319
5/9/20,Walker,Alabama,Walker,0,127,5/9/20,2448,0,1,127,0,0,262
5/9/20,Washington,Alabama,Washington,0,129,5/9/20,485,0,1,129,0,0,154
5/9/20,Wilcox,Alabama,"Choctaw, Clarke, Dallas and 11 more",0,131,5/9/20,443,0,1,131,0,0,79
5/9/20,Winston,Alabama,Winston,0,999,5/9/20,733,0,1,133,0,0,147
4/25/20,Autauga,Alabama,Autauga,0,1,4/25/20,1585,0,1,1,0,0,736
4/25/20,Baldwin,Alabama,Baldwin,0,3,4/25/20,8232,0,1,3,0,0,4099
4/25/20,Barbour,Alabama,Barbour,0,5,4/25/20,338,0,1,5,0,0,208
4/25/20,Bibb,Alabama,Bibb,0,7,4/25/20,973,0,1,7,0,0,312
4/25/20,Blount,Alabama,Blount,0,9,4/25/20,963,0,1,9,0,0,491
4/25/20,Bullock,Alabama,Bullock,0,11,4/25/20,221,0,1,11,0,0,101
4/25/20,Butler,Alabama,Butler,0,13,4/25/20,1071,0,1,13,0,0,262
4/25/20,Calhoun,Alabama,Calhoun,0,15,4/25/20,5832,0,1,15,0,0,2293
4/25/20,Chambers,Alabama,Chambers,0,17,4/25/20,1282,0,1,17,0,0,481
4/25/20,Cherokee,Alabama,Cherokee,0,19,4/25/20,647,0,1,19,0,0,235
4/25/20,Chilton,Alabama,Chilton,0,21,4/25/20,1244,0,1,21,0,0,529
