county,month,claims,,,,,,,,,,,,,
Nicollet County,1/1/20,90,,,,,,,,,,,,,
Sibley County,1/1/20,54,,,,,,,,,,,,,
Waseca County,1/1/20,65,,,,,,,,,,,,,
Watonwan County,1/1/20,61,,,,,,,,,,,,,
Dodge County,1/1/20,82,,,,,,,,,,,,,
Fillmore County,1/1/20,83,,,,,,,,,,,,,
Freeborn County,1/1/20,103,,,,,,,,,,,,,
Goodhue County,1/1/20,212,,,,,,,,,,,,,
Houston County,1/1/20,61,,,,,,,,,,,,,
Mower County,1/1/20,124,,,,,,,,,,,,,
Olmsted County,1/1/20,380,,,,,,,,,,,,,
Rice County,1/1/20,209,,,,,,,,,,,,,
Steele County,1/1/20,153,,,,,,,,,,,,,
Wabasha County,1/1/20,84,,,,,,,,,,,,,
Winona County,1/1/20,141,,,,,,,,,,,,,
Anoka County,1/1/20,"1,237",,,,,,,,,,,,,
Carver County,1/1/20,255,,,,,,,,,,,,,
Dakota County,1/1/20,"1,339",,,,,,,,,,,,,
Hennepin County,1/1/20,"3,184",,,,,,,,,,,,,
Ramsey County,1/1/20,"1,644",,,,,,,,,,,,,
Scott County,1/1/20,438,,,,,,,,,,,,,
Washington County,1/1/20,823,,,,,,,,,,,,,
