SortingColumn (Ignore),ID,Region,Area,Year,Period,Adjustment,State Name,Employed,Labor Force,Unemployed,Unemployment Rate
"2020, 03",1578692,AR,Dallas County,2020,March,Not Adj,Arkansas,"2,669","2,834",165,5.80%
"2020, 03",1578697,AR,Desha County,2020,March,Not Adj,Arkansas,"5,095","5,427",332,6.10%
"2020, 03",1578702,AR,Drew County,2020,March,Not Adj,Arkansas,"7,398","7,960",562,7.10%
"2020, 03",1578707,AR,Faulkner County,2020,March,Not Adj,Arkansas,"59,495","62,110","2,615",4.20%
"2020, 03",1578712,AR,Franklin County,2020,March,Not Adj,Arkansas,"7,244","7,612",368,4.80%
"2020, 03",1578717,AR,Fulton County,2020,March,Not Adj,Arkansas,"4,881","5,140",259,5.00%
"2020, 03",1578722,AR,Garland County,2020,March,Not Adj,Arkansas,"40,049","42,119","2,070",4.90%
"2020, 03",1578727,AR,Grant County,2020,March,Not Adj,Arkansas,"7,984","8,389",405,4.80%
"2020, 03",1578732,AR,Greene County,2020,March,Not Adj,Arkansas,"19,504","20,503",999,4.90%
"2020, 03",1578737,AR,Hempstead County,2020,March,Not Adj,Arkansas,"9,459","9,993",534,5.30%
"2020, 03",1578742,AR,Hot Spring County,2020,March,Not Adj,Arkansas,"13,518","14,185",667,4.70%
"2020, 03",1578747,AR,Howard County,2020,March,Not Adj,Arkansas,"5,428","5,711",283,5.00%
"2020, 03",1578752,AR,Independence County,2020,March,Not Adj,Arkansas,"16,245","17,125",880,5.10%
"2020, 03",1578757,AR,Izard County,2020,March,Not Adj,Arkansas,"4,613","5,027",414,8.20%
"2020, 03",1578762,AR,Jackson County,2020,March,Not Adj,Arkansas,"5,362","5,854",492,8.40%
"2020, 03",1578767,AR,Jefferson County,2020,March,Not Adj,Arkansas,"25,883","27,917","2,034",7.30%
"2020, 03",1578772,AR,Johnson County,2020,March,Not Adj,Arkansas,"9,836","10,401",565,5.40%
"2020, 03",1578777,AR,Lafayette County,2020,March,Not Adj,Arkansas,"2,332","2,492",160,6.40%
"2020, 03",1578782,AR,Lawrence County,2020,March,Not Adj,Arkansas,"6,683","7,061",378,5.40%
"2020, 03",1578787,AR,Lee County,2020,March,Not Adj,Arkansas,"2,625","2,841",216,7.60%
"2020, 03",1578792,AR,Lincoln County,2020,March,Not Adj,Arkansas,"3,743","3,995",252,6.30%
"2020, 03",1578797,AR,Little River County,2020,March,Not Adj,Arkansas,"5,292","5,627",335,6.00%
"2020, 03",1578802,AR,Logan County,2020,March,Not Adj,Arkansas,"8,003","8,486",483,5.70%
"2020, 03",1578807,AR,Lonoke County,2020,March,Not Adj,Arkansas,"32,776","34,512","1,736",5.00%
"2020, 03",1578812,AR,Madison County,2020,March,Not Adj,Arkansas,"7,321","7,592",271,3.60%
"2020, 03",1578817,AR,Marion County,2020,March,Not Adj,Arkansas,"6,377","6,748",371,5.50%
"2020, 03",1578822,AR,Miller County,2020,March,Not Adj,Arkansas,"19,016","20,133","1,117",5.50%
"2020, 03",1578827,AR,Mississippi County,2020,March,Not Adj,Arkansas,"16,375","17,667","1,292",7.30%
"2020, 03",1578832,AR,Monroe County,2020,March,Not Adj,Arkansas,"2,637","2,807",170,6.10%
"2020, 03",1578837,AR,Montgomery County,2020,March,Not Adj,Arkansas,"2,797","3,010",213,7.10%
"2020, 03",1578842,AR,Nevada County,2020,March,Not Adj,Arkansas,"3,475","3,671",196,5.30%
"2020, 03",1578847,AR,Newton County,2020,March,Not Adj,Arkansas,"3,259","3,429",170,5.00%
"2020, 03",1578852,AR,Ouachita County,2020,March,Not Adj,Arkansas,"9,353","9,998",645,6.50%
