area_type,period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
county,March,KIOWA COUNTY,"1,273","1,246",27,2.10%,No
county,March,LABETTE COUNTY,"10,221","9,843",378,3.70%,No
county,March,LANE COUNTY,753,732,21,2.80%,No
county,March,LEAVENWORTH COUNTY,"36,538","35,310","1,228",3.40%,No
county,March,LINCOLN COUNTY,"1,722","1,687",35,2.00%,No
county,March,LINN COUNTY,"4,441","4,175",266,6.00%,No
county,March,LOGAN COUNTY,"1,694","1,667",27,1.60%,No
county,March,LYON COUNTY,"17,521","17,023",498,2.80%,No
county,March,MARION COUNTY,"6,135","5,982",153,2.50%,No
county,March,MARSHALL COUNTY,"5,562","5,433",129,2.30%,No
county,March,MCPHERSON COUNTY,"17,611","17,252",359,2.00%,No
county,March,MEADE COUNTY,"2,163","2,120",43,2.00%,No
county,March,MIAMI COUNTY,"17,499","16,936",563,3.20%,No
county,March,MITCHELL COUNTY,"3,409","3,344",65,1.90%,No
county,March,MONTGOMERY COUNTY,"14,912","14,319",593,4.00%,No
county,March,MORRIS COUNTY,"3,047","2,960",87,2.90%,No
county,March,MORTON COUNTY,"1,123","1,096",27,2.40%,No
county,March,NEMAHA COUNTY,"5,294","5,167",127,2.40%,No
county,March,NEOSHO COUNTY,"6,190","5,947",243,3.90%,No
county,March,NESS COUNTY,"1,351","1,316",35,2.60%,No
county,March,NORTON COUNTY,"2,684","2,632",52,1.90%,No
county,March,OSAGE COUNTY,"7,981","7,719",262,3.30%,No
county,March,OSBORNE COUNTY,"2,032","1,986",46,2.30%,No
county,March,OTTAWA COUNTY,"3,086","3,010",76,2.50%,No
county,March,PAWNEE COUNTY,"2,826","2,737",89,3.10%,No
county,March,PHILLIPS COUNTY,"2,675","2,615",60,2.20%,No
county,March,POTTAWATOMIE COUNTY,"12,452","12,132",320,2.60%,No
county,March,PRATT COUNTY,"5,046","4,933",113,2.20%,No
county,March,RAWLINS COUNTY,"1,517","1,488",29,1.90%,No
county,March,RENO COUNTY,"30,738","29,890",848,2.80%,No
county,March,REPUBLIC COUNTY,"2,268","2,216",52,2.30%,No
county,March,RICE COUNTY,"5,449","5,322",127,2.30%,No
county,March,RILEY COUNTY,"35,146","34,317",829,2.40%,No
county,March,ROOKS COUNTY,"2,528","2,458",70,2.80%,No
county,March,RUSH COUNTY,"1,633","1,582",51,3.10%,No
county,March,RUSSELL COUNTY,"3,294","3,213",81,2.50%,No
county,March,SALINE COUNTY,"31,028","30,126",902,2.90%,No
county,March,SCOTT COUNTY,"2,829","2,783",46,1.60%,No
county,March,SEDGWICK COUNTY,"254,263","245,749","8,514",3.30%,No
county,March,SEWARD COUNTY,"9,579","9,334",245,2.60%,No
county,March,SHAWNEE COUNTY,"90,711","87,960","2,751",3.00%,No
county,March,SHERIDAN COUNTY,"1,428","1,404",24,1.70%,No
county,March,SHERMAN COUNTY,"2,851","2,779",72,2.50%,No
county,March,SMITH COUNTY,"2,031","1,982",49,2.40%,No
county,March,STAFFORD COUNTY,"2,027","1,970",57,2.80%,No
county,March,STANTON COUNTY,983,959,24,2.40%,No
county,March,STEVENS COUNTY,"2,806","2,741",65,2.30%,No
county,March,SUMNER COUNTY,"11,007","10,649",358,3.30%,No
county,March,THOMAS COUNTY,"4,320","4,234",86,2.00%,No
county,March,TREGO COUNTY,"1,388","1,343",45,3.20%,No
county,March,WABAUNSEE COUNTY,"3,647","3,534",113,3.10%,No
county,March,WALLACE COUNTY,984,968,16,1.60%,No
county,March,WASHINGTON COUNTY,"3,006","2,949",57,1.90%,No
county,March,WICHITA COUNTY,"1,290","1,268",22,1.70%,No
county,March,WILSON COUNTY,"4,060","3,887",173,4.30%,No
county,March,WOODSON COUNTY,"1,657","1,600",57,3.40%,No
county,March,WYANDOTTE COUNTY,"77,021","74,112","2,909",3.80%,No
county,February,ALLEN COUNTY,"6,421","6,193",228,3.60%,No
county,February,ANDERSON COUNTY,"4,202","4,059",143,3.40%,No
county,February,ATCHISON COUNTY,"7,029","6,641",388,5.50%,No
county,February,BARBER COUNTY,"2,297","2,236",61,2.70%,No
county,February,BARTON COUNTY,"13,293","12,794",499,3.80%,No
county,February,BOURBON COUNTY,"6,594","6,277",317,4.80%,No
county,February,BROWN COUNTY,"5,363","5,203",160,3.00%,No
county,February,BUTLER COUNTY,"33,025","31,904","1,121",3.40%,No
county,February,CHASE COUNTY,"1,552","1,509",43,2.80%,No
county,February,CHAUTAUQUA COUNTY,"1,424","1,376",48,3.40%,No
county,February,CHEROKEE COUNTY,"10,162","9,840",322,3.20%,No
county,February,CHEYENNE COUNTY,"1,317","1,285",32,2.40%,No
county,February,CLARK COUNTY,"1,080","1,055",25,2.30%,No
county,February,CLAY COUNTY,"3,769","3,653",116,3.10%,No
county,February,CLOUD COUNTY,"3,749","3,642",107,2.90%,No
county,February,COFFEY COUNTY,"4,182","3,991",191,4.60%,No
county,February,COMANCHE COUNTY,839,816,23,2.70%,No
county,February,COWLEY COUNTY,"16,329","15,752",577,3.50%,No
county,February,CRAWFORD COUNTY,"18,625","17,875",750,4.00%,No
county,February,DECATUR COUNTY,"1,178","1,141",37,3.10%,No
county,February,DICKINSON COUNTY,"8,764","8,409",355,4.10%,No
county,February,DONIPHAN COUNTY,"4,129","3,970",159,3.90%,No
county,February,DOUGLAS COUNTY,"67,075","65,076","1,999",3.00%,No
county,February,EDWARDS COUNTY,"1,382","1,352",30,2.20%,No
county,February,ELK COUNTY,"1,149","1,113",36,3.10%,No
county,February,ELLIS COUNTY,"17,044","16,682",362,2.10%,No
county,February,ELLSWORTH COUNTY,"2,690","2,621",69,2.60%,No
county,February,FINNEY COUNTY,"20,876","20,441",435,2.10%,No
county,February,FORD COUNTY,"16,968","16,556",412,2.40%,No
county,February,FRANKLIN COUNTY,"14,299","13,784",515,3.60%,No
