weekEnding,county,claims
12/22/18,Livingston,5
12/22/18,Morgan,22
12/22/18,Grundy,7
12/22/18,Warren,20
12/22/18,Pemiscot,33
12/22/18,Cedar,22
12/22/18,Camden,48
12/22/18,Reynolds,0
12/22/18,Shelby,9
12/22/18,Pulaski,143
12/22/18,Bollinger,19
12/22/18,Cole,68
12/22/18,Boone,153
12/22/18,Dade,12
12/22/18,Jasper,53
12/22/18,Pettis,36
12/22/18,Howard,13
12/22/18,Laclede,166
12/22/18,Perry,5
12/22/18,Texas,23
12/22/18,Nodaway,36
12/22/18,Cooper,22
12/22/18,Macon,16
12/22/18,St. Francois,69
12/22/18,Wayne,20
12/22/18,DeKalb,7
12/22/18,Carroll,5
12/22/18,Buchanan,61
12/22/18,Washington,33
12/22/18,Dent,17
12/22/18,Schuyler,6
12/22/18,Phelps,41
12/22/18,Carter,7
12/22/18,Linn,18
12/22/18,Knox,3
12/22/18,Clay,163
12/22/18,Lawrence,27
12/22/18,Howell,19
12/22/18,Sullivan,3
12/22/18,Mississippi,46
12/22/18,New Madrid,41
12/22/18,Ripley,20
12/22/18,Jackson,529
12/22/18,Barton,6
12/22/18,Chariton,2
12/22/18,Scott,89
12/22/18,Mercer,2
12/22/18,Ray,33
12/22/18,St. Louis,925
12/22/18,Gasconade,15
12/22/18,Polk,24
12/22/18,Shannon,2
12/22/18,Barry,16
12/22/18,St. Charles,268
12/22/18,Harrison,4
12/22/18,Putnam,3
12/22/18,Daviess,8
12/22/18,Jefferson,247
12/22/18,Platte,57
12/22/18,Holt,6
12/22/18,Worth,1
12/22/18,Madison,11
12/22/18,Atchison,1
12/22/18,Randolph,38
12/22/18,Pike,9
12/22/18,Franklin,142
12/22/18,Benton,13
12/22/18,Clinton,18
12/22/18,Stoddard,95
12/22/18,Gentry,2
12/15/18,Scott,52
12/15/18,Laclede,37
12/15/18,Lincoln,40
12/15/18,Carroll,3
12/15/18,Buchanan,51
12/15/18,Platte,25
12/15/18,Ste. Genevieve,15
12/15/18,Montgomery,1
12/15/18,Phelps,32
12/15/18,Putnam,0
12/15/18,McDonald,8
12/15/18,Caldwell,5
12/15/18,Pemiscot,12
12/15/18,Shelby,6
12/15/18,Schuyler,3
12/15/18,Douglas,28
12/15/18,Osage,12
12/15/18,Gentry,3
12/15/18,Butler,30
12/15/18,Polk,21
12/15/18,Ripley,12
12/15/18,Benton,18
12/15/18,Cass,34
12/15/18,Jefferson,154
12/15/18,Marion,23
12/15/18,Barry,14
12/15/18,Ozark,8
12/15/18,Lafayette,16
12/15/18,Boone,63
12/15/18,Moniteau,9
12/15/18,Taney,185
12/15/18,Audrain,8
12/15/18,Mississippi,26
12/15/18,Howell,24
12/15/18,Bollinger,7
12/15/18,Clay,90
12/15/18,Saline,16
12/15/18,Holt,2
12/15/18,Worth,1
12/15/18,New Madrid,29
12/15/18,Randolph,10
12/15/18,Livingston,7
