Period,Area,Labor Force,Employed,Unemployed,Unemployment Rate,Preliminary
April,Omaha City,"248,370","221,467","26,903",10.80%,No
April,Papillion City,"10,858","9,779","1,079",9.90%,No
May,Bellevue City,"27,278","25,761","1,517",5.60%,Yes
May,Columbus City,"12,796","12,062",734,5.70%,Yes
May,Fremont City,"14,813","14,219",594,4.00%,Yes
May,Grand Island City,"27,231","24,888","2,343",8.60%,Yes
May,Hastings City,"13,922","13,172",750,5.40%,Yes
May,Kearney City,"20,604","19,348","1,256",6.10%,Yes
May,Lincoln City,"162,394","154,048","8,346",5.10%,Yes
May,Norfolk City,"14,257","13,669",588,4.10%,Yes
May,North Platte City,"13,001","12,297",704,5.40%,Yes
May,Omaha City,"247,347","231,163","16,184",6.50%,Yes
May,Papillion City,"10,804","10,206",598,5.50%,Yes
