"state_fips","whole_fips","labor_force","employed","unemployed","unemployment_rate"
"13","13191",5192,4590,602,11.6
"13","13193",4519,4106,413,9.1
"13","13195",12408,11066,1342,10.8
"13","13197",2925,2697,228,7.8
"13","13199",8682,7306,1376,15.8
"13","13201",2632,2503,129,4.9
"13","13205",8079,7420,659,8.2
"13","13207",12126,10997,1129,9.3
"13","13209",3800,3474,326,8.6
"13","13211",8728,7703,1025,11.7
"13","13213",15701,12542,3159,20.1
"13","13215",72629,62805,9824,13.5
"13","13217",49108,43019,6089,12.4
"13","13219",17936,16340,1596,8.9
"13","13221",6420,5806,614,9.6
"13","13223",80541,71473,9068,11.3
"13","13225",11038,9829,1209,11
"13","13227",14200,12687,1513,10.7
"13","13229",8352,7649,703,8.4
"13","13231",8229,7396,833,10.1
"13","13233",18059,15905,2154,11.9
"13","13235",3644,3380,264,7.2
"13","13237",7961,7020,941,11.8
"13","13239",730,692,38,5.2
"13","13241",7174,6263,911,12.7
"13","13243",2462,2292,170,6.9
"13","13245",80791,70756,10035,12.4
"13","13247",42184,36862,5322,12.6
"13","13249",2141,2018,123,5.7
"13","13251",5113,4445,668,13.1
"13","13253",2969,2764,205,6.9
"13","13255",27057,23591,3466,12.8
"13","13257",10918,9615,1303,11.9
"13","13259",2463,2291,172,7
"13","13261",12785,11556,1229,9.6
"13","13263",2643,2316,327,12.4
"13","13265",572,511,61,10.7
"13","13267",9023,8436,587,6.5
"13","13269",2791,2493,298,10.7
"13","13271",3650,3205,445,12.2
"13","13273",3192,2888,304,9.5
"13","13275",16482,14784,1698,10.3
"13","13277",19923,18174,1749,8.8
"13","13279",12096,10633,1463,12.1
"13","13281",3820,3275,545,14.3
"13","13283",2621,2349,272,10.4
"13","13285",39820,33682,6138,15.4
"13","13287",3166,2832,334,10.5
"13","13289",2677,2390,287,10.7
"13","13291",10302,9331,971,9.4
"13","13293",11179,9805,1374,12.3
"13","13295",30181,26891,3290,10.9
"13","13297",43471,38223,5248,12.1
"13","13299",15270,13653,1617,10.6
"13","13301",2744,2457,287,10.5
"13","13303",6604,5997,607,9.2
"13","13305",10974,9860,1114,10.2
"13","13307",968,910,58,6
"13","13309",1585,1429,156,9.8
"13","13311",16740,14945,1795,10.7
"13","13313",44568,35381,9187,20.6
"13","13315",2604,2415,189,7.3
"13","13317",3799,3474,325,8.6
"13","13319",3849,3579,270,7
"13","13321",8165,7440,725,8.9
"15","15001",85957,65290,20667,24
"15","15003",419548,335666,83882,20
"15","15007",36254,23766,12488,34.4
"15","15009",91266,59324,31942,35
