county,claims,date
Gove,1,23-May
Scott,6,23-May
Lane,5,23-May
Finney,70,23-May
Haskell,4,23-May
Gray,2,23-May
Seward,50,23-May
Meade,4,23-May
Norton,6,23-May
Graham,4,23-May
Trego,5,23-May
Ness,2,23-May
Nodgeman,4,23-May
Ford,60,23-May
Clark,4,23-May
Phillips,6,23-May
Rooks,10,23-May
Ellis,67,23-May
Rush,14,23-May
Pawnee,9,23-May
Edwards,5,23-May
Kiowa,1,23-May
Comanche,2,23-May
Smith,5,23-May
Osborne,5,23-May
Russell,13,23-May
Barton,212,23-May
Stafford,7,23-May
Pratt,25,23-May
Barber,11,23-May
Jewell,4,23-May
Mitchell,5,23-May
Lincoln,5,23-May
Ellsworth,9,23-May
Rice,28,23-May
Reno,189,23-May
Kingman,27,23-May
Harper,15,23-May
Republic,2,23-May
Cloud,12,23-May
Ottawa,20,23-May
Saline,217,23-May
McPherson,115,23-May
Harvey,104,23-May
Sedgewick,2805,23-May
Sumner,76,23-May
Washington,7,23-May
Clay,32,23-May
Dickinson,50,23-May
Marion,24,23-May
Butler,222,23-May
Cowley,103,23-May
Marshall,15,23-May
Riley,493,23-May
Geary,118,23-May
Morris,8,23-May
Chase,5,23-May
Nemaha,19,23-May
Pottawatomie,126,23-May
Wabaunsee,19,23-May
Lyon,82,23-May
Greenwood,19,23-May
Elk,11,23-May
Chautauqua,7,23-May
Brown,20,23-May
Jackson,30,23-May
Shawnee,503,23-May
Osage,39,23-May
Coffey,19,23-May
Woodson,17,23-May
Wilson,247,23-May
Montgomery,312,23-May
Doniphan,10,23-May
Atchison,47,23-May
Jefferson,50,23-May
Douglas,629,23-May
Franklin,95,23-May
Anderson,25,23-May
Allen,104,23-May
Neosho,75,23-May
Labette,90,23-May
Leavenworth,242,23-May
Wyandotte,726,23-May
Johnson,1710,23-May
Miami,74,23-May
Linn,36,23-May
Bourbon,77,23-May
Crawford,228,23-May
Cherokee,87,23-May
Cheyenne,1,30-May
Sherman,8,30-May
Wallance,1,30-May
Greeley,2,30-May
Hamilton,1,30-May
Stanton,1,30-May
Morton,6,30-May
Rawlins,0,30-May
Thomas,9,30-May
Logan,7,30-May
Wichita,2,30-May
Kearny,6,30-May
Grant,11,30-May
Stevens,3,30-May
Decatur,3,30-May
Sheridan,3,30-May
Gove,4,30-May
Scott,4,30-May
Lane,1,30-May
Finney,60,30-May
Haskell,4,30-May
Gray,2,30-May
Seward,35,30-May
Meade,2,30-May
Norton,3,30-May
Graham,5,30-May
Trego,4,30-May
Ness,4,30-May
Nodgeman,0,30-May
Ford,60,30-May
