county,claims,date
Leavenworth,307,5/2/20
Wyandotte,873,5/2/20
Johnson,2668,5/2/20
Miami,122,5/2/20
Linn,39,5/2/20
Bourbon,59,5/2/20
Crawford,161,5/2/20
Cherokee,68,5/2/20
Cheyenne,3,5/9/20
Sherman,4,5/9/20
Wallace,2,5/9/20
Greeley,1,5/9/20
Hamilton,3,5/9/20
Stanton,1,5/9/20
Morton,1,5/9/20
Rawlins,5,5/9/20
Thomas,18,5/9/20
Logan,9,5/9/20
Wichita,3,5/9/20
Kearny,6,5/9/20
Grant,13,5/9/20
Stevens,6,5/9/20
Decatur,5,5/9/20
Sheridan,2,5/9/20
Gove,11,5/9/20
Scott,8,5/9/20
Lane,1,5/9/20
Finney,92,5/9/20
Haskell,7,5/9/20
Gray,2,5/9/20
Seward,42,5/9/20
Meade,4,5/9/20
Norton,9,5/9/20
Graham,4,5/9/20
Trego,5,5/9/20
Ness,4,5/9/20
Hodgeman,4,5/9/20
Ford,76,5/9/20
Clark,0,5/9/20
Phillips,6,5/9/20
Rooks,7,5/9/20
Ellis,74,5/9/20
Rush,10,5/9/20
Pawnee,11,5/9/20
Edwards,9,5/9/20
Kiowa,2,5/9/20
Comanche,5,5/9/20
Smith,11,5/9/20
Osborne,3,5/9/20
Russell,18,5/9/20
Barton,55,5/9/20
Stafford,9,5/9/20
Pratt,44,5/9/20
Barber,10,5/9/20
Jewell,4,5/9/20
Mitchell,10,5/9/20
Lincoln,8,5/9/20
Ellsworth,15,5/9/20
Rice,22,5/9/20
Reno,234,5/9/20
Kingman,32,5/9/20
Harper,12,5/9/20
Republic,8,5/9/20
Cloud,23,5/9/20
Ottawa,62,5/9/20
Saline,607,5/9/20
McPherson,99,5/9/20
Harvey,106,5/9/20
Sedgwick,3400,5/9/20
Sumner,111,5/9/20
Washington,7,5/9/20
Clay,26,5/9/20
Dickinson,73,5/9/20
Marion,23,5/9/20
Butler,283,5/9/20
Cowley,97,5/9/20
Marshall,23,5/9/20
Riley,202,5/9/20
Geary,147,5/9/20
Morris,15,5/9/20
Chase,5,5/9/20
Nemaha,6,5/9/20
Pottawatomie,61,5/9/20
Wabaunsee,18,5/9/20
Lyon,138,5/9/20
Greenwood,14,5/9/20
Elk,5,5/9/20
Chautauqua,7,5/9/20
Brown,24,5/9/20
Jackson,46,5/9/20
Shawnee,640,5/9/20
Osage,37,5/9/20
Coffey,19,5/9/20
Woodson,10,5/9/20
Wilson,30,5/9/20
Montgomery,152,5/9/20
Doniphan,14,5/9/20
Atchison,36,5/9/20
Jefferson,53,5/9/20
Douglas,705,5/9/20
Franklin,79,5/9/20
Anderson,21,5/9/20
Allen,38,5/9/20
Neosho,42,5/9/20
Labette,123,5/9/20
Leavenworth,244,5/9/20
Wyandotte,695,5/9/20
Johnson,1949,5/9/20
Miami,81,5/9/20
Linn,29,5/9/20
Bourbon,54,5/9/20
Crawford,154,5/9/20
Cherokee,41,5/9/20
Cheyenne,4,5/16/20
Sherman,8,5/16/20
Wallace,1,5/16/20
Greeley,1,5/16/20
Hamilton,2,5/16/20
Stanton,4,5/16/20
Morton,3,5/16/20
Rawlins,2,5/16/20
Thomas,13,5/16/20
Logan,4,5/16/20
Wichita,2,5/16/20
Kearny,5,5/16/20
Grant,8,5/16/20
Stevens,10,5/16/20
Decatur,3,5/16/20
Sheridan,4,5/16/20
Gove,2,5/16/20
Scott,15,5/16/20
Lane,1,5/16/20
Finney,84,5/16/20
Haskell,5,5/16/20
Gray,7,5/16/20
Seward,48,5/16/20
Meade,5,5/16/20
Norton,4,5/16/20
Graham,3,5/16/20
Trego,3,5/16/20
Ness,4,5/16/20
Hodgeman,1,5/16/20
Ford,65,5/16/20
Clark,5,5/16/20
Phillips,4,5/16/20
Rooks,12,5/16/20
Ellis,76,5/16/20
Rush,7,5/16/20
Pawnee,10,5/16/20
Edwards,6,5/16/20
Kiowa,6,5/16/20
Comanche,2,5/16/20
Smith,3,5/16/20
Osborne,5,5/16/20
Russell,16,5/16/20
Barton,89,5/16/20
Stafford,9,5/16/20
Pratt,20,5/16/20
Barber,6,5/16/20
Jewell,1,5/16/20
Mitchell,9,5/16/20
Lincoln,4,5/16/20
Ellsworth,13,5/16/20
Rice,32,5/16/20
Reno,225,5/16/20
Kingman,29,5/16/20
Harper,10,5/16/20
Republic,1,5/16/20
Cloud,15,5/16/20
Ottawa,25,5/16/20
Saline,270,5/16/20
McPherson,91,5/16/20
Harvey,133,5/16/20
Sedgwick,3097,5/16/20
Sumner,102,5/16/20
Washington,8,5/16/20
Clay,14,5/16/20
Dickinson,49,5/16/20
Marion,22,5/16/20
Butler,249,5/16/20
Cowley,142,5/16/20
Marshall,22,5/16/20
Riley,224,5/16/20
Geary,104,5/16/20
Morris,6,5/16/20
Chase,11,5/16/20
Nemaha,20,5/16/20
Pottawatomie,52,5/16/20
Wabaunsee,16,5/16/20
Lyon,96,5/16/20
Greenwood,18,5/16/20
Elk,10,5/16/20
Chautauqua,7,5/16/20
Brown,12,5/16/20
Jackson,48,5/16/20
Shawnee,555,5/16/20
Osage,39,5/16/20
Coffey,20,5/16/20
Woodson,6,5/16/20
Wilson,24,5/16/20
Montgomery,215,5/16/20
Doniphan,13,5/16/20
Atchison,55,5/16/20
Jefferson,53,5/16/20
Douglas,521,5/16/20
Franklin,84,5/16/20
Anderson,19,5/16/20
Allen,31,5/16/20
Neosho,47,5/16/20
Labette,75,5/16/20
Leavenworth,197,5/16/20
Wyandotte,657,5/16/20
Johnson,1770,5/16/20
Miami,84,5/16/20
Linn,32,5/16/20
Bourbon,39,5/16/20
Crawford,152,5/16/20
Cherokee,27,5/16/20
Cheyenne,2,5/23/20
Sherman,13,5/23/20
Wallace,1,5/23/20
Greeley,1,5/23/20
Hamilton,1,5/23/20
Stanton,3,5/23/20
Morton,3,5/23/20
Rawlins,3,5/23/20
Thomas,14,5/23/20
Logan,7,5/23/20
Wichita,0,5/23/20
Kearny,4,5/23/20
Grant,12,5/23/20
Stevens,5,5/23/20
Decatur,5,5/23/20
Sheridan,2,5/23/20
Gove,1,5/23/20
Scott,6,5/23/20
Lane,5,5/23/20
Finney,70,5/23/20
Haskell,4,5/23/20
Gray,2,5/23/20
Seward,50,5/23/20
Meade,4,5/23/20
Norton,6,5/23/20
Graham,4,5/23/20
Trego,5,5/23/20
Ness,2,5/23/20
Hodgeman,4,5/23/20
Ford,60,5/23/20
Clark,4,5/23/20
Phillips,6,5/23/20
Rooks,10,5/23/20
Ellis,67,5/23/20
Rush,14,5/23/20
Pawnee,9,5/23/20
Edwards,5,5/23/20
Kiowa,1,5/23/20
Comanche,2,5/23/20
Smith,5,5/23/20
Osborne,5,5/23/20
Russell,13,5/23/20
Barton,212,5/23/20
Stafford,7,5/23/20
Pratt,25,5/23/20
Barber,11,5/23/20
Jewell,4,5/23/20
Mitchell,5,5/23/20
Lincoln,5,5/23/20
Ellsworth,9,5/23/20
Rice,28,5/23/20
Reno,189,5/23/20
Kingman,27,5/23/20
Harper,15,5/23/20
Republic,2,5/23/20
Cloud,12,5/23/20
Ottawa,20,5/23/20
Saline,217,5/23/20
McPherson,115,5/23/20
Harvey,104,5/23/20
Sedgwick,2805,5/23/20
Sumner,76,5/23/20
Washington,7,5/23/20
Clay,32,5/23/20
Dickinson,50,5/23/20
Marion,24,5/23/20
Butler,222,5/23/20
Cowley,103,5/23/20
Marshall,15,5/23/20
Riley,493,5/23/20
Geary,118,5/23/20
Morris,8,5/23/20
Chase,5,5/23/20
Nemaha,19,5/23/20
Pottawatomie,126,5/23/20
Wabaunsee,19,5/23/20
Lyon,82,5/23/20
Greenwood,19,5/23/20
Elk,11,5/23/20
Chautauqua,7,5/23/20
Brown,20,5/23/20
Jackson,30,5/23/20
Shawnee,503,5/23/20
Osage,39,5/23/20
Coffey,19,5/23/20
Woodson,17,5/23/20
Wilson,247,5/23/20
Montgomery,312,5/23/20
Doniphan,10,5/23/20
Atchison,47,5/23/20
Jefferson,50,5/23/20
Douglas,629,5/23/20
Franklin,95,5/23/20
Anderson,25,5/23/20
Allen,104,5/23/20
Neosho,75,5/23/20
Labette,90,5/23/20
Leavenworth,242,5/23/20
Wyandotte,726,5/23/20
Johnson,1710,5/23/20
Miami,74,5/23/20
Linn,36,5/23/20
Bourbon,77,5/23/20
Crawford,228,5/23/20
Cherokee,87,5/23/20
Cheyenne,1,5/30/20
Sherman,8,5/30/20
Wallace,1,5/30/20
Greeley,2,5/30/20
Hamilton,1,5/30/20
Stanton,1,5/30/20
Morton,6,5/30/20
Rawlins,0,5/30/20
Thomas,9,5/30/20
Logan,7,5/30/20
Wichita,2,5/30/20
Kearny,6,5/30/20
Grant,11,5/30/20
Stevens,3,5/30/20
Decatur,3,5/30/20
Sheridan,3,5/30/20
Gove,4,5/30/20
Scott,4,5/30/20
Lane,1,5/30/20
